Year,Month,Day,Hour,Minute,Second,KUM_META.t
2020,02,01,08,00,00,1.64833
2020,02,01,09,00,00,1.98667
2020,02,01,10,00,00,2.19
2020,02,01,11,00,00,2.33167
2020,02,01,12,00,00,2.44333
2020,02,01,13,00,00,2.47333
2020,02,01,14,00,00,2.34667
2020,02,01,15,00,00,1.95667
2020,02,01,16,00,00,1.89167
2020,02,01,17,00,00,1.725
2020,02,01,18,00,00,1.70667
2020,02,01,19,00,00,1.93667
2020,02,01,20,00,00,2.665
2020,02,01,21,00,00,3.70833
2020,02,01,22,00,00,4.46167
2020,02,01,23,00,00,4.74
2020,02,02,00,00,00,4.71
2020,02,02,01,00,00,4.6
2020,02,02,02,00,00,4.67667
2020,02,02,03,00,00,4.59167
